order,start,end,chapter,section,visual_asset,visual_notes,on_screen_text,narration
1,0:00,0:10,Intro,Hook,assets/ai-stills/hero-home-lab.png,"Slow push on the anchor plate. Keep the muslin cloth, notebook, and play gym all visible in frame.",4 classic baby experiments,"If you've ever played peekaboo and felt like your baby somehow knew what was coming, that intuition is backed by real developmental psychology."
2,0:10,0:17,,Hook,assets/keynote-exports/01-intro-four-abilities.png,Keynote export built on the four-vignette Nano Banana plate. Hold long enough to read the four labels.,How infants think,"Long before babies can talk, they're already predicting social patterns, detecting cause and effect, and storing simple memories of new actions."
3,0:17,0:41,,Hook,assets/keynote-exports/01-intro-four-abilities.png,Stay on the same overlay and add a very light Ken Burns push.,Prediction • cause and effect • memory,"In this video, I'll walk through four classic infant experiments you can adapt at home, what each one reveals, and how to do them without turning a playful observation into an overblown conclusion. These are all simplified home versions of famous lab paradigms, which means the magic is not special equipment. It's consistency, observation, and knowing what not to overclaim."
4,0:41,0:44,Ground rules,Ground rules,assets/keynote-exports/02-ground-rules-overlay.png,Ground-rules Keynote export over the calm setup plate.,Not diagnostic,"First, the big caveat: these are not diagnostic tests."
5,0:44,0:54,,Ground rules,assets/ai-stills/ground-rules-room.png,Use the uncluttered setup plate without extra text for a beat of breathing room.,"Observed games, not evaluations","A single home session cannot tell you whether your baby is advanced, delayed, or anything in between. Think of these as carefully observed games."
6,0:54,1:26,,Ground rules,assets/keynote-exports/02-ground-rules-overlay.png,Return to the overlay with short practical rules visible on screen.,Calm baby • quiet room • stop early • keep it short,"For all four, use the same ground rules: choose a calm, alert baby in the middle of a wake window, keep the room quiet, stop immediately if your baby fusses or turns away, and keep the session short. Three clean minutes with a happy baby are more useful than ten messy minutes with an overtired one. And before you start, decide what would make you end the session early. That way you're following your baby's state, not your own curiosity."
7,1:26,1:31,Peekaboo,Peekaboo,assets/keynote-exports/03-peekaboo-title.png,Chapter title export built on the peekaboo base plate.,Experiment 1: Peekaboo,"Experiment one is peekaboo, but done as a real protocol."
8,1:31,1:53,,Peekaboo,assets/ai-stills/peekaboo-face-to-face.png,Use the base plate without labels so the scene feels warm and lived-in.,Same script every time,"In the 1970s, Jerome Bruner argued that peekaboo works because it has a rigid structure: disappearance, suspense, and reveal. That repetitive structure gives babies something they can start to predict. What looks casual from the outside is actually a tiny repeated script, and babies seem to learn the shape of that script very quickly."
9,1:53,2:13,,Peekaboo,assets/keynote-exports/04-peekaboo-protocol.png,Protocol overlay on the three-panel variation strip or a crop of it.,Ready • hide • pause • reveal,"At home, keep the script identical for three or four trials: eye contact, the same ready cue, cover your face from the center, pause for two seconds, then reveal with the same warm expression. The point of keeping the words and timing steady is that predictability gives the baby something to lock onto."
10,2:13,2:23,,Peekaboo,assets/keynote-exports/05-peekaboo-variations.png,"Show the labeled three-panel strip: standard, delayed, wrong-side.",Change one thing,"Once that baseline is stable, change one thing. Delay the reveal. Reveal from the wrong side. Or make the center briefly empty before you appear."
